fraction,repeat,n_groups,n_rows,train_accuracy,validation_accuracy,test_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_validation_gap,train_test_gap
0.2,0,79,237,0.9746835443037974,0.9007936507936508,0.8745098039215686,0.9748338081671415,0.9014223420173545,0.876094276094276,0.07388989351014663,0.10017374038222882
0.2,1,79,237,0.9789029535864979,0.8968253968253969,0.8627450980392157,0.9790499339480143,0.8977123147854855,0.8636515760009735,0.08207755676110107,0.1161578555472822
0.2,2,79,237,0.9662447257383966,0.873015873015873,0.8627450980392157,0.9666197256558702,0.8724225603681526,0.8623476492614582,0.09322885272252357,0.10349962769918086
0.35,0,138,414,0.9782608695652174,0.9206349206349206,0.8941176470588236,0.9784216619255975,0.9205357575839596,0.8948382799562472,0.05762594893029682,0.08414322250639383
0.35,1,138,414,0.9879227053140096,0.9206349206349206,0.9176470588235294,0.9879727082106489,0.9208579131950779,0.917687229930732,0.06728778467908902,0.07027564649048024
0.35,2,138,414,0.9758454106280193,0.9007936507936508,0.9215686274509803,0.9759230271366963,0.9014920954650688,0.9223605224008912,0.07505175983436851,0.05427678317703899
0.5,0,196,588,0.9710884353741497,0.9166666666666666,0.9176470588235294,0.9713358244608244,0.9173907971747077,0.9178728851214119,0.054421768707483054,0.05344137655062031
0.5,1,196,588,0.9761904761904762,0.9166666666666666,0.9254901960784314,0.976366216740504,0.9173779324107825,0.9261172405447299,0.059523809523809534,0.05070028011204475
0.5,2,196,588,0.9829931972789115,0.9246031746031746,0.9294117647058824,0.9830167140404176,0.9247981063770538,0.9295985060690942,0.0583900226757369,0.053581432573029164
0.65,0,255,765,0.9816993464052287,0.9206349206349206,0.9333333333333333,0.9817954807980512,0.9212817833507488,0.9340298864836037,0.06106442577030813,0.048366013071895364
0.65,1,255,765,0.9764705882352941,0.9126984126984127,0.9294117647058824,0.9766211888971515,0.912252954408643,0.9299886375231295,0.06377217553688141,0.04705882352941171
0.65,2,255,765,0.9712418300653595,0.9285714285714286,0.9294117647058824,0.9714063032165572,0.9288172052991178,0.9296883346820608,0.042670401493930865,0.04183006535947709
0.8,0,314,942,0.9798301486199575,0.9246031746031746,0.9450980392156862,0.9799313223650974,0.9252526379367074,0.9453671320955843,0.05522697401678289,0.034732109404271294
0.8,1,314,942,0.9766454352441614,0.9206349206349206,0.9529411764705882,0.9767557307317679,0.9211936437546194,0.952986092876543,0.05601051460924078,0.023704258773573184
0.8,2,314,942,0.9777070063694268,0.9166666666666666,0.9294117647058824,0.977834462572538,0.9172152585672096,0.93004108517021,0.06104033970276013,0.048295241663544375
1.0,0,393,1179,0.9787955894826124,0.9325396825396826,0.9333333333333333,0.9789353791904443,0.9326660331538381,0.9334919122059571,0.0462559069429298,0.04546225614927901
1.0,1,393,1179,0.9787955894826124,0.9325396825396826,0.9333333333333333,0.9789353791904443,0.9326660331538381,0.9334919122059571,0.0462559069429298,0.04546225614927901
1.0,2,393,1179,0.9787955894826124,0.9325396825396826,0.9333333333333333,0.9789353791904443,0.9326660331538381,0.9334919122059571,0.0462559069429298,0.04546225614927901
